tr-0	七个工作日怎么算呀在学	XX什么意思
tr-404	外地户口嫁到重庆来可以在重庆办吗	如何办理
tr-405	请问持有成都暂住证可以办理港澳通行证与出国护照吗	是否可以用其它证件
tr-406	我的港澳通行证是成都签发的，之后户口迁移到深圳，现在重新迁移回成都（正在办理中），请问我可以在自助机上办理去香港的个人旅游单次签注吗？	旅游
tr-407	非成都户口办理港澳通行证的签证类型是l签?不是g签吗	其他意图
tr-408	你好！我网上预约的是到成都市出入境接待中心办理港澳同行证续签，但想去金牛区出入境接待大厅办理。不知可否？	其他意图
tr-409	您本	其他意图
tr-410	户口是高新区集体户，办港澳台通行证必须去高新区的出入境大厅办理还是在成都市内任意一区就可以办理呢	办理地址
tr-411	今天去日月光广场分理处办理港澳通行证，太便捷高效啦，为我大重庆的出入境管理点赞????	感谢语过渡语
tr-412	港澳通行证5月12日到期，现在申请续签来的及不，因为看信息说有效期必须大于3个月	其他意图
tr-413	有没有其他证件可以代替？	是否可以用其它证件
tr-414	其他有效证件可以吗？	是否可以用其它证件
tr-415	可以用身份证以外的证件办理吗	是否可以用其它证件
tr-416	可以用其他的证件吗	是否可以用其它证件
tr-417	可以用复印件吗	是否可以用其它证件
tr-418	没有身份证可以吗？	是否可以用其它证件
tr-419	是否可以用学生证	是否可以用其它证件
tr-420	那可不可以用学生证办理	是否可以用其它证件
tr-421	是不是必须要户口本？	是否可以用其它证件
tr-422	那可不可以用护照办理呢	是否可以用其它证件
tr-423	身份证弄丢了怎么办？	是否可以用其它证件
tr-424	嗯嗯好的我是现役军人	其他意图
tr-425	请问可以拿本人的身份证复印件吗？因为取证那几天本人不在重庆	领证方式咨询
tr-426	我想咨询一下可不可以用户口办理呢？没有身份证！成年人	是否可以用其它证件
tr-427	我想请问没有居住证，居住证明可以办港澳第二次签注吗	是否可以用其它证件
tr-428	我的身份证都丢了怎么办	是否可以用其它证件
tr-429	请问开州区的户口现在港澳通行证可以办理个人旅游签注吗	旅游
tr-430	旅游签证怎么办理？	旅游
tr-431	港澳通行证，团签可以个人自由出行吗？	旅游
tr-432	你好，请问铜梁港澳通行证团签可以改个人签吗？	旅游
tr-433	旅游签证	旅游
tr-434	都江堰户口办港澳通行证可以自由行吗？	旅游
tr-435	旅游	旅游
tr-436	请问我办理了香港的出入境，但是我户口在铜梁，只能办团队的，可是我直飞机票都买好了，不能退，请问可以改成个人的么	旅游
tr-437	我办了《港澳通行证》但是只签注了香港的，现在想签注澳门的可以吗？	旅游
tr-438	持有成都市居住证办理港澳通行证，请问是个人旅游签?还是团队旅游签	旅游
tr-439	请问有港澳通行证在川内办的?但是没有签注过户口是上学期间迁到成都的?能签个人游吗	旅游
tr-440	办理港澳通行证时，办的是?团签，如何改成个人旅游签注呢？谢谢	旅游
tr-441	请问下綦江户口办理港澳通行证只能办旅游签不能个人签吗？不能直飞香港吗	旅游
tr-442	请问简阳户口可以办理赴港澳个人旅游签注吗	旅游
tr-443	我有居住证，能在成都续签港澳通行证签注吗，是个人旅游签注还是团队旅游签注	旅游
tr-444	不是重新户籍居民	否
tr-445	不是啊	否
tr-446	嗯，不是这样	否
tr-447	不	否
tr-448	否	否
tr-449	我不是重庆的	否
tr-450	不是那	否
tr-451	不可以	否
tr-452	不是	否
tr-453	我说不是	否
tr-454	给你说不是	否
tr-455	不是首次那里	否
tr-456	哦不是	否
tr-457	没有啊	否
tr-458	没对	否
tr-459	从	其他意图
tr-460	没有勒	否
tr-461	没有	否
tr-462	不知道	感谢语过渡语
tr-463	不清楚	感谢语过渡语
tr-464	没有啦	否
tr-465	不是太清楚	感谢语过渡语
tr-466	快递取证价格？	邮寄签证费用
tr-467	游戏费用怎么退呀	其他意图
tr-468	快递证件怎么算？	邮寄签证费用
tr-469	邮寄证件多少钱？	邮寄签证费用
tr-470	邮寄证件收费标准？	邮寄签证费用
tr-471	游戏费用	邮寄签证费用
tr-472	快递证件便宜么?	邮寄签证费用
tr-473	邮寄签注收费标准	邮寄签证费用
tr-474	邮寄费用怎么算呀	邮寄签证费用
tr-475	快递费用高么？	邮寄签证费用
tr-476	快递取证收费标准？	邮寄签证费用
tr-477	邮寄证件贵不贵呀？	邮寄签证费用
tr-478	邮寄证件价格标准？	邮寄签证费用
tr-479	游戏费用怎么算啊	邮寄签证费用
tr-480	邮寄证件价格？	邮寄签证费用
tr-481	邮费	邮寄签证费用
tr-482	快递取证不便宜吧？	邮寄签证费用
tr-483	快递证件贵不贵呀？	邮寄签证费用
tr-484	快递费用不便宜吧？	邮寄签证费用
tr-485	快递取证便宜么?	邮寄签证费用
tr-486	游戏费用怎么算的	邮寄签证费用
tr-487	邮寄证件怎么收费？	邮寄签证费用
tr-488	邮寄费用怎么算呀？	邮寄签证费用
tr-489	快递取证怎么算？	邮寄签证费用
tr-490	邮寄费用怎么算	邮寄签证费用
tr-491	快递证件收费标准？	邮寄签证费用
tr-492	您好，我于上月15日申办的护照及港澳通行证，异地户口，受理通知单上标注的是通知，由于目前尚未接到任何领取通知，故想咨询下大概还需要多久可以拿到护照，十分感谢。	办理时长
tr-493	现在好以后可以找人带你们	代领签证咨询
tr-494	还是需要回复和所在地自己倾注谢谢	感谢语过渡语
tr-495	我在江北区	其他意图
tr-496	旅游县镇	其他意图
tr-497	周末可不可以取护照	上班时间
tr-498	好，行	是
tr-499	哦，行，好的	是
tr-500	可以可以可以	是
tr-501	哦，可以可以可以	是
tr-502	好可以	是
tr-503	可以啊可以	是
tr-504	可以啊我现在的	是
tr-505	恩可以	是
tr-506	嗯可以啊	是
tr-507	我要去香港开心生病需要我们指定	探亲和逗留
tr-508	我要去香港灿杏顺便去澳门制定	探亲和逗留
tr-509	武器费用多少	邮寄签证费用
tr-510	港澳签证是L签，签发地是四川，可以从成都直飞香港吗？	其他意图
tr-511	本地户口的用临时身份证的话，不用带户口薄吧	其他意图
tr-512	去台湾在香港中转，需要携带港澳通行证吗？	其他意图
tr-513	我是大陆游客，于10月14日从台北飞成都，中途经停香港11小时，想去香港逛一圈，有台湾通行证和入台证是不是就不需要港澳通行证了？	其他意图
tr-514	22号收到短信通知领取港澳通行证，今日（24号）下午可以领取吗？	办理时长
tr-515	之前在武侯区出入境中心办理了护照和港澳台通行证，但是半个月后只收到了港澳台通行证可以领取的通知短信	其他意图
tr-516	请问成都居民持旅游港澳通行证，可以办理自助通关吗？	其他意图
tr-517	能否网上预约办理？	如何办理
tr-518	办理港澳再次签注的自助网点有哪些？	办理地址
tr-519	请问一下，我从内地到香港往返期间，如果要去澳门一次的话，香港签注办理一次往返就可以了吗？我在港澳一共停留5天	逗留有效期及频次
tr-520	我预约3月20日办普通护照和港澳签证，不知道是否成功？再预约不起了。	其他意图
tr-521	警官您好！我想请问一下港澳通行证的受理号码怎么查询呢？	其他意图
tr-522	如何查询？谢谢。	其他意图
tr-523	港澳通行证已经办了差不多一个月了，到入境处询问说是已经寄出去了，但是现在还没收到，没有回执单也不能查到进程，想知道快递单号，因为明天的飞机，谢谢	其他意图
tr-524	刚刚在网上签注的港澳通行证，点错了，只选择香港一次，已经付了钱，能不能修改哦还是再重新签一次？	其他意图
tr-525	请问代办港澳通行签注，需本人的委托书吗？	委托办理
tr-526	您好，我想问下，我今天刚迁好户口，落户重庆了。但我以前的港澳通行证是L签，我需要来大厅重新办理通行证吗？还有护照	其他意图
tr-527	请问身份证丢失，可不可以用临时身份证办理菲律宾签证和港澳通行证到期换证业务，谢谢	是否可以用其它证件
tr-528	能否用行驶证/军人证/社保卡/办理？	是否可以用其它证件
tr-529	请问异地户口交满一年的社保，没居住证，只有一个暂住凭证能办理港澳通行证吗？	是否可以用其它证件
tr-530	我的身份证弄丢了	是否可以用其它证件
tr-531	有其他证件替代身份证可以不？	是否可以用其它证件
tr-532	我的身份证丢失了，办了临时身份证，请问可以用临时身份证可以办理港澳通行证和护照吗？	是否可以用其它证件
tr-533	异地办理港澳通行证必须要户口本原件吗?复印件或者扫描件可以吗	是否可以用其它证件
tr-534	出生证明可以吗？	是否可以用其它证件
tr-535	请问我都江堰的户口，用临时身份证能否在成都办理港澳台通行证	是否可以用其它证件
tr-536	我老婆是达州的，结婚之前她在达州当地办理了护照?港澳通行证.没有签注过.结婚后户口迁到了彭州.请问她如果去香港自由行.需要什么手续?	旅游
tr-537	已有港澳通行证，户籍所在地是海南的，但是有成都的暂住证，可以在本市办理旅游签注吗？	如何办理
tr-538	你好，我是自贡户口，在成都有居住证，在成都办理的港澳通行证，请问居住证持证人可以办理去港澳的个人自由行签注吗?之前的政策是只能办理团体旅游签注。谢谢	旅游
tr-539	港澳通行证四川宜宾市高县那边默认的种类是团队旅游（L），公司让过去出差，成都飞香港，请问能在成都出入境哪里办理团队改个人吗？急急急	旅游
tr-540	老公在老家办理了港澳通行证，签注只能做L团签，现在户口迁到成都了，是否可以办理个人旅游签注，需要什么手续，谢谢！	旅游
tr-541	外地户口办理的港澳通行证，种类是团队旅游，从成都双流机场出境到香港，是直接凭港澳通行证的有效签注出境就好了，还是必须要跟旅游团带的	旅游
tr-542	为什么不回答我的问题，我都问了三次了。我港澳通行证在四川达州办的，昨天在成都签注的，从成都直飞香港出差，请问还需要办理团签吗？	旅游
tr-543	你好，我是德阳地区的户口，港澳通行证是在德阳办的，现在有成都的居住证，请问可以用原来的通行证在成都办理香港个人旅游签注吗？	如何办理
tr-544	你好问一下我是重庆的办理的港澳通行证是团队旅游(L)是不是必须只有跟团才能去	旅游
tr-545	请问简阳户口现在在成都办了港澳通行证签注算成都本地户口吗？可以办个人游签注吗	如何办理
tr-546	我在重庆市但是所在的区县不能办理个人旅游在主城可以办理吗？	旅游
tr-547	户口是凉山州西昌市，港澳通行证也是在西昌办的。现在办理了成都的居住证，港澳通行证能签注个人旅游（G）吗？还是只能签注团队旅游（L）	旅游
