tr-0,七个工作日怎么算呀在学,XX什么意思
tr-398,我的港澳通行证是成都签发的，之后户口迁移到深圳，现在重新迁移回成都（正在办理中），请问我可以在自助机上办理去香港的个人旅游单次签注吗？,旅游
tr-399,非成都户口办理港澳通行证的签证类型是l签?不是g签吗,其他意图
tr-400,请问澳门两次签注需要间隔多久？在异地是否也可以进行第二次签注,逗留有效期及频次
tr-401,您本,其他意图
tr-402,户口是高新区集体户，办港澳台通行证必须去高新区的出入境大厅办理还是在成都市内任意一区就可以办理呢,办理地址
tr-403,今天去日月光广场分理处办理港澳通行证，太便捷高效啦，为我大重庆的出入境管理点赞????,感谢语过渡语
tr-404,有没有其他证件可以代替？,是否可以用其它证件
tr-405,除了身份证，还有其他证件么？,是否可以用其它证件
tr-406,其他有效证件可以吗？,是否可以用其它证件
tr-407,可以用身份证以外的证件办理吗,是否可以用其它证件
tr-408,我的身份证弄丢了是吗,是否可以用其它证件
tr-409,可以用其他的证件吗,是否可以用其它证件
tr-410,可以用复印件吗,是否可以用其它证件
tr-411,没有身份证可以吗？,是否可以用其它证件
tr-412,是否可以用学生证,是否可以用其它证件
tr-413,那可不可以用学生证办理,是否可以用其它证件
tr-414,是不是必须要户口本？,是否可以用其它证件
tr-415,嗯嗯好的我是现役军人,其他意图
tr-416,请问可以拿本人的身份证复印件吗？因为取证那几天本人不在重庆,领证方式咨询
tr-417,我想咨询一下可不可以用户口办理呢？没有身份证！成年人,是否可以用其它证件
tr-418,我想请问没有居住证，居住证明可以办港澳第二次签注吗,是否可以用其它证件
tr-419,因为办理身份证的时间有点长，我可以先用临时身份证办理港澳通行证吗？,是否可以用其它证件
tr-420,我的身份证都丢了怎么办,是否可以用其它证件
tr-421,请问开州区的户口现在港澳通行证可以办理个人旅游签注吗,旅游
tr-422,旅游签证怎么办理？,旅游
tr-423,港澳通行证，团签可以个人自由出行吗？,旅游
tr-424,你好，请问铜梁港澳通行证团签可以改个人签吗？,旅游
tr-425,旅游签证,旅游
tr-426,都江堰户口办港澳通行证可以自由行吗？,旅游
tr-427,旅游,旅游
tr-428,请问我办理了香港的出入境，但是我户口在铜梁，只能办团队的，可是我直飞机票都买好了，不能退，请问可以改成个人的么,旅游
tr-429,我办了《港澳通行证》但是只签注了香港的，现在想签注澳门的可以吗？,旅游
tr-430,我办港澳通行证是申报的种类是个人，怎么办下来种类是团队旅游啊！,旅游
tr-431,请问有港澳通行证在川内办的?但是没有签注过户口是上学期间迁到成都的?能签个人游吗,旅游
tr-432,请问简阳户口可以办理赴港澳个人旅游签注吗,旅游
tr-433,我有居住证，能在成都续签港澳通行证签注吗，是个人旅游签注还是团队旅游签注,旅游
tr-434,不是重新户籍居民,否
tr-435,不是啊,否
tr-436,嗯，不是这样,否
tr-437,不,否
tr-438,否,否
tr-439,我不是重庆的,否
tr-440,不是那,否
tr-441,不是,否
tr-442,不对,否
tr-443,不是啊啊,否
tr-444,我说不是,否
tr-445,给你说不是,否
tr-446,不是首次那里,否
tr-447,查不是,否
tr-448,没有啊,否
tr-449,从,其他意图
tr-450,没有勒,否
tr-451,没有,否
tr-452,不是不是打过来,否
tr-453,没,否
tr-454,不对的,否
tr-455,不知道,感谢语过渡语
tr-456,不清楚,感谢语过渡语
tr-457,没有啦,否
tr-458,快递取证价格？,邮寄签证费用
tr-459,游戏费用怎么退呀,其他意图
tr-460,快递证件怎么算？,邮寄签证费用
tr-461,邮寄证件多少钱？,邮寄签证费用
tr-462,邮寄证件收费标准？,邮寄签证费用
tr-463,快递证件便宜么?,邮寄签证费用
tr-464,同城快递多少钱？,邮寄签证费用
tr-465,邮寄签注收费标准,邮寄签证费用
tr-466,邮寄费用怎么算呀,邮寄签证费用
tr-467,邮寄证件便宜么?,邮寄签证费用
tr-468,快递费用高么？,邮寄签证费用
tr-469,快递取证收费标准？,邮寄签证费用
tr-470,邮寄证件贵不贵呀？,邮寄签证费用
tr-471,邮寄证件价格标准？,邮寄签证费用
tr-472,游戏费用怎么算啊,邮寄签证费用
tr-473,邮费,邮寄签证费用
tr-474,快递证件贵不贵呀？,邮寄签证费用
tr-475,快递费用不便宜吧？,邮寄签证费用
tr-476,快递取证便宜么?,邮寄签证费用
tr-477,游戏费用怎么算的,邮寄签证费用
tr-478,邮寄证件怎么收费？,邮寄签证费用
tr-479,邮寄费用怎么算呀？,邮寄签证费用
tr-480,快递取证怎么算？,邮寄签证费用
tr-481,邮寄费用怎么算,邮寄签证费用
tr-482,您好，我于上月15日申办的护照及港澳通行证，异地户口，受理通知单上标注的是通知，由于目前尚未接到任何领取通知，故想咨询下大概还需要多久可以拿到护照，十分感谢。,办理时长
tr-483,现在好以后可以找人带你们,代领签证咨询
tr-484,还是需要回复和所在地自己倾注谢谢,感谢语过渡语
tr-485,旅游县镇,其他意图
tr-486,好，行,是
tr-487,可以可以可以,是
tr-488,哦，可以可以可以,是
tr-489,好可以,是
tr-490,可以啊可以,是
tr-491,恩可以,是
tr-492,我要去香港开心生病需要我们指定,探亲和逗留
tr-493,我要去香港灿杏顺便去澳门制定,探亲和逗留
tr-494,武器费用多少,邮寄签证费用
tr-495,由于近期户口重原籍迁移到成都，那在原户口所在地办理护照、港澳通行证、台湾通行证是否需要更换，原来的护照、港澳通行证、台湾通行证是否可以继续正常使用,其他意图
tr-496,港澳签证是L签，签发地是四川，可以从成都直飞香港吗？,其他意图
tr-497,本地户口的用临时身份证的话，不用带户口薄吧,其他意图
tr-498,去台湾在香港中转，需要携带港澳通行证吗？,其他意图
tr-499,我是大陆游客，于10月14日从台北飞成都，中途经停香港11小时，想去香港逛一圈，有台湾通行证和入台证是不是就不需要港澳通行证了？,其他意图
tr-500,22号收到短信通知领取港澳通行证，今日（24号）下午可以领取吗？,办理时长
tr-501,之前在武侯区出入境中心办理了护照和港澳台通行证，但是半个月后只收到了港澳台通行证可以领取的通知短信,其他意图
tr-502,请问成都居民持旅游港澳通行证，可以办理自助通关吗？,其他意图
tr-503,能否网上预约办理？,如何办理
tr-504,成都首次办理港澳通行证可以在自助办理机上办理吗？,如何办理
tr-505,办理港澳再次签注的自助网点有哪些？,办理地址
tr-506,请问一下，我从内地到香港往返期间，如果要去澳门一次的话，香港签注办理一次往返就可以了吗？我在港澳一共停留5天,逗留有效期及频次
tr-507,我预约3月20日办普通护照和港澳签证，不知道是否成功？再预约不起了。,其他意图
tr-508,今天港澳签注网络界面无法提交，内容错乱，无法填报上传,其他意图
tr-509,警官您好！我想请问一下港澳通行证的受理号码怎么查询呢？,其他意图
tr-510,如何查询？谢谢。,其他意图
tr-511,喂你见可不可以,其他意图
tr-512,名字是多音字，办理港澳通行证是拼音A,其他意图
tr-513,港澳通行证已经办了差不多一个月了，到入境处询问说是已经寄出去了，但是现在还没收到，没有回执单也不能查到进程，想知道快递单号，因为明天的飞机，谢谢,其他意图
tr-514,刚刚在网上签注的港澳通行证，点错了，只选择香港一次，已经付了钱，能不能修改哦还是再重新签一次？,其他意图
tr-515,您好，我想问下，我今天刚迁好户口，落户重庆了。但我以前的港澳通行证是L签，我需要来大厅重新办理通行证吗？还有护照,其他意图
tr-516,有暂住证可以申请港澳通行证吗？（旅游签证）,是否可以用其它证件
tr-517,请问身份证丢失，可不可以用临时身份证办理菲律宾签证和港澳通行证到期换证业务，谢谢,是否可以用其它证件
tr-518,能否用行驶证/军人证/社保卡/办理？,是否可以用其它证件
tr-519,请问异地户口交满一年的社保，没居住证，只有一个暂住凭证能办理港澳通行证吗？,是否可以用其它证件
tr-520,有其他证件替代身份证可以不？,是否可以用其它证件
tr-521,我的身份证丢失了，办了临时身份证，请问可以用临时身份证可以办理港澳通行证和护照吗？,是否可以用其它证件
tr-522,异地办理港澳通行证必须要户口本原件吗?复印件或者扫描件可以吗,是否可以用其它证件
tr-523,出生证明可以吗？,是否可以用其它证件
tr-524,请问我都江堰的户口，用临时身份证能否在成都办理港澳台通行证,是否可以用其它证件
tr-525,我老婆是达州的，结婚之前她在达州当地办理了护照?港澳通行证.没有签注过.结婚后户口迁到了彭州.请问她如果去香港自由行.需要什么手续?,旅游
tr-526,你好，我是自贡户口，在成都有居住证，在成都办理的港澳通行证，请问居住证持证人可以办理去港澳的个人自由行签注吗?之前的政策是只能办理团体旅游签注。谢谢,旅游
tr-527,港澳通行证四川宜宾市高县那边默认的种类是团队旅游（L），公司让过去出差，成都飞香港，请问能在成都出入境哪里办理团队改个人吗？急急急,旅游
tr-528,老公在老家办理了港澳通行证，签注只能做L团签，现在户口迁到成都了，是否可以办理个人旅游签注，需要什么手续，谢谢！,旅游
tr-529,外地户口办理的港澳通行证，种类是团队旅游，从成都双流机场出境到香港，是直接凭港澳通行证的有效签注出境就好了，还是必须要跟旅游团带的,旅游
tr-530,为什么不回答我的问题，我都问了三次了。我港澳通行证在四川达州办的，昨天在成都签注的，从成都直飞香港出差，请问还需要办理团签吗？,旅游
tr-531,请问简阳户口现在在成都办了港澳通行证签注算成都本地户口吗？可以办个人游签注吗,如何办理
tr-532,我在重庆市但是所在的区县不能办理个人旅游在主城可以办理吗？,旅游
tr-533,户口是凉山州西昌市，港澳通行证也是在西昌办的。现在办理了成都的居住证，港澳通行证能签注个人旅游（G）吗？还是只能签注团队旅游（L）,旅游
